43,44,49,50,79,80,85,86,
44,45,50,51,80,81,86,87,
45,46,51,52,81,82,87,88,
49,50,55,56,85,86,91,92,
50,51,56,57,86,87,92,93,
51,52,57,58,87,88,93,94,
55,56,61,62,91,92,97,98,
56,57,62,63,92,93,98,99,
57,58,63,64,93,94,99,100,
79,80,85,86,115,116,121,122,
80,81,86,87,116,117,122,123,
81,82,87,88,117,118,123,124,
85,86,91,92,121,122,127,128,
86,87,92,93,122,123,128,129,
87,88,93,94,123,124,129,130,
91,92,97,98,127,128,133,134,
92,93,98,99,128,129,134,135,
93,94,99,100,129,130,135,136,
115,116,121,122,151,152,157,158,
116,117,122,123,152,153,158,159,
117,118,123,124,153,154,159,160,
121,122,127,128,157,158,163,164,
122,123,128,129,158,159,164,165,
123,124,129,130,159,160,165,166,
127,128,133,134,163,164,169,170,
128,129,134,135,164,165,170,171,
129,130,135,136,165,166,171,172,
0,1,6,7,36,37,42,43,
1,2,7,8,37,38,43,44,
2,3,8,9,38,39,44,45,
3,4,9,10,39,40,45,46,
4,5,10,11,40,41,46,47,
6,7,12,13,42,43,48,49,
7,8,13,14,43,44,49,50,
8,9,14,15,44,45,50,51,
9,10,15,16,45,46,51,52,
10,11,16,17,46,47,52,53,
12,13,18,19,48,49,54,55,
13,14,19,20,49,50,55,56,
14,15,20,21,50,51,56,57,
15,16,21,22,51,52,57,58,
16,17,22,23,52,53,58,59,
18,19,24,25,54,55,60,61,
19,20,25,26,55,56,61,62,
20,21,26,27,56,57,62,63,
21,22,27,28,57,58,63,64,
22,23,28,29,58,59,64,65,
24,25,30,31,60,61,66,67,
25,26,31,32,61,62,67,68,
26,27,32,33,62,63,68,69,
27,28,33,34,63,64,69,70,
28,29,34,35,64,65,70,71,
36,37,42,43,72,73,78,79,
37,38,43,44,73,74,79,80,
38,39,44,45,74,75,80,81,
39,40,45,46,75,76,81,82,
40,41,46,47,76,77,82,83,
72,73,78,79,108,109,114,115,
73,74,79,80,109,110,115,116,
74,75,80,81,110,111,116,117,
75,76,81,82,111,112,117,118,
76,77,82,83,112,113,118,119,
108,109,114,115,144,145,150,151,
109,110,115,116,145,146,151,152,
110,111,116,117,146,147,152,153,
111,112,117,118,147,148,153,154,
112,113,118,119,148,149,154,155,
144,145,150,151,180,181,186,187,
145,146,151,152,181,182,187,188,
146,147,152,153,182,183,188,189,
147,148,153,154,183,184,189,190,
148,149,154,155,184,185,190,191,
46,47,52,53,82,83,88,89,
52,53,58,59,88,89,94,95,
58,59,64,65,94,95,100,101,
64,65,70,71,100,101,106,107,
82,83,88,89,118,119,124,125,
88,89,94,95,124,125,130,131,
94,95,100,101,130,131,136,137,
100,101,106,107,136,137,142,143,
118,119,124,125,154,155,160,161,
124,125,130,131,160,161,166,167,
130,131,136,137,166,167,172,173,
136,137,142,143,172,173,178,179,
154,155,160,161,190,191,196,197,
160,161,166,167,196,197,202,203,
166,167,172,173,202,203,208,209,
172,173,178,179,208,209,214,215,
60,61,66,67,96,97,102,103,
61,62,67,68,97,98,103,104,
62,63,68,69,98,99,104,105,
63,64,69,70,99,100,105,106,
96,97,102,103,132,133,138,139,
97,98,103,104,133,134,139,140,
98,99,104,105,134,135,140,141,
99,100,105,106,135,136,141,142,
132,133,138,139,168,169,174,175,
133,134,139,140,169,170,175,176,
134,135,140,141,170,171,176,177,
135,136,141,142,171,172,177,178,
168,169,174,175,204,205,210,211,
169,170,175,176,205,206,211,212,
170,171,176,177,206,207,212,213,
171,172,177,178,207,208,213,214,
42,43,48,49,78,79,84,85,
48,49,54,55,84,85,90,91,
54,55,60,61,90,91,96,97,
78,79,84,85,114,115,120,121,
84,85,90,91,120,121,126,127,
90,91,96,97,126,127,132,133,
114,115,120,121,150,151,156,157,
120,121,126,127,156,157,162,163,
126,127,132,133,162,163,168,169,
150,151,156,157,186,187,192,193,
156,157,162,163,192,193,198,199,
162,163,168,169,198,199,204,205,
151,152,157,158,187,188,193,194,
152,153,158,159,188,189,194,195,
153,154,159,160,189,190,195,196,
157,158,163,164,193,194,199,200,
158,159,164,165,194,195,200,201,
159,160,165,166,195,196,201,202,
163,164,169,170,199,200,205,206,
164,165,170,171,200,201,206,207,
165,166,171,172,201,202,207,208,
-1,-1,-1,-1,0,1,6,7,
-1,-1,-1,-1,1,2,7,8,
-1,-1,-1,-1,2,3,8,9,
-1,-1,-1,-1,3,4,9,10,
-1,-1,-1,-1,4,5,10,11,
-1,-1,-1,-1,6,7,12,13,
-1,-1,-1,-1,7,8,13,14,
-1,-1,-1,-1,8,9,14,15,
-1,-1,-1,-1,9,10,15,16,
-1,-1,-1,-1,10,11,16,17,
-1,-1,-1,-1,12,13,18,19,
-1,-1,-1,-1,13,14,19,20,
-1,-1,-1,-1,14,15,20,21,
-1,-1,-1,-1,15,16,21,22,
-1,-1,-1,-1,16,17,22,23,
-1,-1,-1,-1,18,19,24,25,
-1,-1,-1,-1,19,20,25,26,
-1,-1,-1,-1,20,21,26,27,
-1,-1,-1,-1,21,22,27,28,
-1,-1,-1,-1,22,23,28,29,
-1,-1,-1,-1,24,25,30,31,
-1,-1,-1,-1,25,26,31,32,
-1,-1,-1,-1,26,27,32,33,
-1,-1,-1,-1,27,28,33,34,
-1,-1,-1,-1,28,29,34,35,
-1,-1,0,1,-1,-1,36,37,
-1,-1,1,2,-1,-1,37,38,
-1,-1,2,3,-1,-1,38,39,
-1,-1,3,4,-1,-1,39,40,
-1,-1,4,5,-1,-1,40,41,
-1,-1,36,37,-1,-1,72,73,
-1,-1,37,38,-1,-1,73,74,
-1,-1,38,39,-1,-1,74,75,
-1,-1,39,40,-1,-1,75,76,
-1,-1,40,41,-1,-1,76,77,
-1,-1,72,73,-1,-1,108,109,
-1,-1,73,74,-1,-1,109,110,
-1,-1,74,75,-1,-1,110,111,
-1,-1,75,76,-1,-1,111,112,
-1,-1,76,77,-1,-1,112,113,
-1,-1,108,109,-1,-1,144,145,
-1,-1,109,110,-1,-1,145,146,
-1,-1,110,111,-1,-1,146,147,
-1,-1,111,112,-1,-1,147,148,
-1,-1,112,113,-1,-1,148,149,
-1,-1,144,145,-1,-1,180,181,
-1,-1,145,146,-1,-1,181,182,
-1,-1,146,147,-1,-1,182,183,
-1,-1,147,148,-1,-1,183,184,
-1,-1,148,149,-1,-1,184,185,
5,-1,11,-1,41,-1,47,-1,
11,-1,17,-1,47,-1,53,-1,
17,-1,23,-1,53,-1,59,-1,
23,-1,29,-1,59,-1,65,-1,
29,-1,35,-1,65,-1,71,-1,
41,-1,47,-1,77,-1,83,-1,
47,-1,53,-1,83,-1,89,-1,
53,-1,59,-1,89,-1,95,-1,
59,-1,65,-1,95,-1,101,-1,
65,-1,71,-1,101,-1,107,-1,
77,-1,83,-1,113,-1,119,-1,
83,-1,89,-1,119,-1,125,-1,
89,-1,95,-1,125,-1,131,-1,
95,-1,101,-1,131,-1,137,-1,
101,-1,107,-1,137,-1,143,-1,
113,-1,119,-1,149,-1,155,-1,
119,-1,125,-1,155,-1,161,-1,
125,-1,131,-1,161,-1,167,-1,
131,-1,137,-1,167,-1,173,-1,
137,-1,143,-1,173,-1,179,-1,
149,-1,155,-1,185,-1,191,-1,
155,-1,161,-1,191,-1,197,-1,
161,-1,167,-1,197,-1,203,-1,
167,-1,173,-1,203,-1,209,-1,
173,-1,179,-1,209,-1,215,-1,
30,31,-1,-1,66,67,-1,-1,
31,32,-1,-1,67,68,-1,-1,
32,33,-1,-1,68,69,-1,-1,
33,34,-1,-1,69,70,-1,-1,
34,35,-1,-1,70,71,-1,-1,
66,67,-1,-1,102,103,-1,-1,
67,68,-1,-1,103,104,-1,-1,
68,69,-1,-1,104,105,-1,-1,
69,70,-1,-1,105,106,-1,-1,
70,71,-1,-1,106,107,-1,-1,
102,103,-1,-1,138,139,-1,-1,
103,104,-1,-1,139,140,-1,-1,
104,105,-1,-1,140,141,-1,-1,
105,106,-1,-1,141,142,-1,-1,
106,107,-1,-1,142,143,-1,-1,
138,139,-1,-1,174,175,-1,-1,
139,140,-1,-1,175,176,-1,-1,
140,141,-1,-1,176,177,-1,-1,
141,142,-1,-1,177,178,-1,-1,
142,143,-1,-1,178,179,-1,-1,
174,175,-1,-1,210,211,-1,-1,
175,176,-1,-1,211,212,-1,-1,
176,177,-1,-1,212,213,-1,-1,
177,178,-1,-1,213,214,-1,-1,
178,179,-1,-1,214,215,-1,-1,
-1,0,-1,6,-1,36,-1,42,
-1,6,-1,12,-1,42,-1,48,
-1,12,-1,18,-1,48,-1,54,
-1,18,-1,24,-1,54,-1,60,
-1,24,-1,30,-1,60,-1,66,
-1,36,-1,42,-1,72,-1,78,
-1,42,-1,48,-1,78,-1,84,
-1,48,-1,54,-1,84,-1,90,
-1,54,-1,60,-1,90,-1,96,
-1,60,-1,66,-1,96,-1,102,
-1,72,-1,78,-1,108,-1,114,
-1,78,-1,84,-1,114,-1,120,
-1,84,-1,90,-1,120,-1,126,
-1,90,-1,96,-1,126,-1,132,
-1,96,-1,102,-1,132,-1,138,
-1,108,-1,114,-1,144,-1,150,
-1,114,-1,120,-1,150,-1,156,
-1,120,-1,126,-1,156,-1,162,
-1,126,-1,132,-1,162,-1,168,
-1,132,-1,138,-1,168,-1,174,
-1,144,-1,150,-1,180,-1,186,
-1,150,-1,156,-1,186,-1,192,
-1,156,-1,162,-1,192,-1,198,
-1,162,-1,168,-1,198,-1,204,
-1,168,-1,174,-1,204,-1,210,
180,181,186,187,-1,-1,-1,-1,
181,182,187,188,-1,-1,-1,-1,
182,183,188,189,-1,-1,-1,-1,
183,184,189,190,-1,-1,-1,-1,
184,185,190,191,-1,-1,-1,-1,
186,187,192,193,-1,-1,-1,-1,
187,188,193,194,-1,-1,-1,-1,
188,189,194,195,-1,-1,-1,-1,
189,190,195,196,-1,-1,-1,-1,
190,191,196,197,-1,-1,-1,-1,
192,193,198,199,-1,-1,-1,-1,
193,194,199,200,-1,-1,-1,-1,
194,195,200,201,-1,-1,-1,-1,
195,196,201,202,-1,-1,-1,-1,
196,197,202,203,-1,-1,-1,-1,
198,199,204,205,-1,-1,-1,-1,
199,200,205,206,-1,-1,-1,-1,
200,201,206,207,-1,-1,-1,-1,
201,202,207,208,-1,-1,-1,-1,
202,203,208,209,-1,-1,-1,-1,
204,205,210,211,-1,-1,-1,-1,
205,206,211,212,-1,-1,-1,-1,
206,207,212,213,-1,-1,-1,-1,
207,208,213,214,-1,-1,-1,-1,
208,209,214,215,-1,-1,-1,-1,
