1,13,12,
2,14,13,
3,15,14,
4,16,15,
5,17,16,
6,18,17,
7,19,18,
8,20,19,
9,21,20,
10,22,21,
13,24,23,
13,14,24,
14,25,24,
14,15,25,
15,26,25,
15,16,26,
16,27,26,
16,17,27,
17,28,27,
17,18,28,
18,29,28,
18,19,29,
19,30,29,
19,20,30,
20,31,30,
20,21,31,
21,32,31,
24,34,33,
24,25,34,
25,35,34,
25,26,35,
26,36,35,
26,27,36,
27,37,36,
27,28,37,
28,38,37,
28,29,38,
29,39,38,
29,30,39,
30,40,39,
30,31,40,
31,41,40,
34,43,42,
34,35,43,
35,44,43,
35,36,44,
36,45,44,
36,37,45,
37,46,45,
37,38,46,
38,47,46,
38,39,47,
39,48,47,
39,40,48,
40,49,48,
43,51,50,
43,44,51,
44,52,51,
44,45,52,
45,53,52,
45,46,53,
46,54,53,
46,47,54,
47,55,54,
47,48,55,
48,56,55,
51,58,57,
51,52,58,
52,59,58,
52,53,59,
53,60,59,
53,54,60,
54,61,60,
54,55,61,
55,62,61,
58,64,63,
58,59,64,
59,65,64,
59,60,65,
60,66,65,
60,61,66,
61,67,66,
64,69,68,
64,65,69,
65,70,69,
65,66,70,
66,71,70,
69,73,72,
69,70,73,
70,74,73,
73,76,75,
0,1,12,
1,2,13,
2,3,14,
3,4,15,
4,5,16,
5,6,17,
6,7,18,
7,8,19,
8,9,20,
9,10,21,
10,11,22,
21,22,32,
31,32,41,
40,41,49,
48,49,56,
55,56,62,
61,62,67,
66,67,71,
70,71,74,
73,74,76,
75,76,77,
72,73,75,
68,69,72,
63,64,68,
57,58,63,
50,51,57,
42,43,50,
33,34,42,
23,24,33,
12,13,23,
0,1,-1,
1,2,-1,
2,3,-1,
3,4,-1,
4,5,-1,
5,6,-1,
6,7,-1,
7,8,-1,
8,9,-1,
9,10,-1,
10,11,-1,
11,22,-1,
22,32,-1,
32,41,-1,
41,49,-1,
49,56,-1,
56,62,-1,
62,67,-1,
67,71,-1,
71,74,-1,
74,76,-1,
76,77,-1,
77,75,-1,
75,72,-1,
72,68,-1,
68,63,-1,
63,57,-1,
57,50,-1,
50,42,-1,
42,33,-1,
33,23,-1,
23,12,-1,
12,0,-1,
